Filename,Accuracy,Class Distribution
Defect_L16_B314_el4191_H2_W2.npy,0.9992110170707216,"13924,0,1,0,0,0,0,2,0,0,3,0,1,1,2,7,0,1,0"
Defect_L10_B339_el4823_H2_W2.npy,0.9996413713957826,"13938,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0"
Defect_L18_B89_el4189_H8_W8.npy,0.9901018505235978,"13801,12,7,0,1,0,0,0,1,3,51,1,0,4,15,19,18,3,6"
Defect_L7_B74_el1827_H4_W4.npy,0.9980634055372256,"13912,0,0,0,0,0,3,2,0,4,0,1,1,19,0,0,0,0,0"
Defect_L18_B439_el6187_H2_W2.npy,0.999282742791565,"13930,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0"
Defect_L11_B55_el791_H2_W2.npy,0.9994979199540955,"13933,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0"
Defect_L7_B35_el819_H4_W4.npy,0.9990675656290345,"13910,0,0,0,0,0,21,5,1,4,0,0,0,1,0,0,0,0,0"
Defect_L9_B352_el4863_H2_W2.npy,0.9992110170707216,"13932,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0"
Defect_L6_B210_el6175_H4_W4.npy,0.999569645674939,"13914,0,0,0,0,22,0,0,2,4,0,0,0,0,0,0,0,0,0"
Defect_L5_B18_el149_H2_W2.npy,0.9996413713957826,"13931,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L14_B431_el6171_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L5_B106_el1461_H2_W2.npy,0.9996413713957826,"13931,0,0,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0"
Defect_L3_B280_el3825_H2_W2.npy,0.999282742791565,"13926,0,8,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0"
Defect_L16_B21_el829_H8_W8.npy,0.9956964567493903,"13854,0,0,0,22,25,0,0,0,4,7,1,0,0,1,28,0,0,0"
