filename,original_min,original_max,subtracted_min,subtracted_max,subtracted_mean,subtracted_std
Defect_L10_B100_el1165_H2_W2.npy,-272.156,4775.44727,-139.1475837999999,33.36539780000021,-0.001707272167387425,2.7649072469315117
Defect_L10_B101_el1167_H2_W2.npy,-272.1559,4775.44727,-137.96431800000005,34.238829500000065,-0.0022553073898456933,2.7471163124247595
Defect_L10_B102_el1169_H2_W2.npy,-272.1559,4775.44725,-136.29377809999983,36.14189199999987,-0.0026440602385094194,2.722155388063936
Defect_L10_B103_el1171_H2_W2.npy,-272.156,4775.44712,-133.7577785000001,41.103830000000016,0.0005000253589435986,2.691200290650762
Defect_L10_B104_el1173_H2_W2.npy,-272.1551,4775.4466999999995,-129.65764259999992,60.54702999999995,-0.001876184496363434,2.6635754377097913
Defect_L10_B105_el1459_H2_W2.npy,-272.1574,4775.44722,-133.2357946000002,63.693559999999934,-0.0011807233510262752,2.7307812269295866
Defect_L10_B106_el1461_H2_W2.npy,-272.1558,4775.45705,-136.9528919999998,42.3757720000001,0.0007472678063388013,2.749601492101268
Defect_L10_B107_el1463_H2_W2.npy,-272.15569999999997,4775.45706,-139.00589490000016,37.146793000000116,-0.002592012707567983,2.7724926625974087
Defect_L10_B108_el1465_H2_W2.npy,-272.15569999999997,4775.4571,-140.06138130000022,35.113164899999674,-0.002171486478081782,2.7881121153704727
Defect_L10_B109_el1467_H2_W2.npy,-272.15549999999996,4775.45724,-140.53972790000034,34.126947900000005,-0.0015743794265891612,2.795244820919683
Defect_L10_B10_el133_H2_W2.npy,-272.1559,4775.45722,-177.68847549999987,40.08689032999973,-0.00038139380265250956,3.322843871840445
Defect_L10_B110_el1469_H2_W2.npy,-272.1538,4775.4573,-140.73335380000003,33.59004280000022,-0.0012650166512068984,2.7983438281320505
Defect_L10_B111_el1471_H2_W2.npy,-272.15200000000004,4775.45746,-140.7402393000002,33.259041000000025,-0.0009754087842501798,2.799143761554285
Defect_L10_B112_el1473_H2_W2.npy,-272.15180000000004,4775.45747,-140.6657745,33.04282769999986,-0.0007245499392626298,2.798763826435616
Defect_L10_B113_el1475_H2_W2.npy,-272.156,4775.467250000001,-140.5479178999999,32.88505350000014,-0.0006551998817688138,2.7978610379338402
Defect_L10_B114_el1477_H2_W2.npy,-272.1637,4775.45678,-140.43093720000002,32.76715540000009,-0.0005963800633070456,2.7968858200783364
Defect_L10_B115_el1479_H2_W2.npy,-272.1636,4775.43661,-140.3728185,32.676242,-0.000654931773103597,2.7965564831191467
Defect_L10_B116_el1481_H2_W2.npy,-272.1572,4775.42648,-140.53302470000017,32.988988299999846,-0.001035683916963707,2.7969065219267475
