Epoch,Training Loss,Validation Loss
1,0.006697842669559688,0.005127345599854986
2,0.00509309396147728,0.004823939176276326
3,0.004930488129214543,0.004744611137236158
4,0.004889461586660728,0.0047123893940200405
5,0.004863255225667139,0.0046950838683793945
6,0.004845790349219631,0.00468317442573607
7,0.004834504650405995,0.004676187022899588
8,0.004831042401946899,0.004670906734342377
9,0.004820816116634666,0.00466576567851007
10,0.004818926849288911,0.004661417178188761
11,0.00481664471146537,0.004657905626421173
12,0.004811164877581887,0.004655487757797043
13,0.004811983953071077,0.0046536559239029884
14,0.004810219755532538,0.0046514365045974655
15,0.004808351102216941,0.004650035795445244
16,0.00480705821068912,0.004647470001752178
17,0.004805282553339877,0.0046457607143869
18,0.00480230449040125,0.004644457328443726
19,0.00480337987267753,0.004642726853489876
20,0.004801533332594284,0.004641998404016097
21,0.00479708494981978,0.004640761064365506
22,0.004806890618056059,0.004639489498610298
23,0.004803104984869317,0.004638648824766278
24,0.004808684663347355,0.004637390375137329
25,0.004798404804271896,0.004636826924979687
26,0.004795822201342117,0.004635146741444866
27,0.004798850044608116,0.004635505533466737
28,0.0047949376606904875,0.00463411258533597
29,0.0047965792984497255,0.004632929572835565
30,0.004793567219521941,0.00463208641546468
31,0.004791139920310277,0.004631979468589027
32,0.004793880870792924,0.004631511478995283
33,0.004789925952691857,0.004629999942456682
34,0.00478795785229744,0.004629739016915361
35,0.004794588551016115,0.004629305796697736
36,0.004788409804970753,0.004628643471126755
37,0.004792422022125343,0.00462865293957293
38,0.004789400436892742,0.004628166711578767
39,0.004788969461692542,0.00462778036793073
40,0.004786242106247966,0.004626643533507983
41,0.004791048707485926,0.004626232820252578
42,0.004787345121546489,0.0046261341000596685
43,0.004790708286369719,0.004626662780841191
44,0.004785909714949567,0.004627281101420522
45,0.004789585611078798,0.004625278525054455
46,0.004787143444778715,0.00462495496806999
47,0.004795896366420315,0.004624279992034038
48,0.004785012771807066,0.004623927719270189
49,0.004788948325213135,0.004623871296644211
50,0.004788626269323797,0.004623439085359375
51,0.004786968901299122,0.004623056001340349
52,0.00478480907338785,0.004622603689009945
53,0.004789277763537518,0.004622658248990774
54,0.004785297801945268,0.004622718008855979
55,0.0047900375637521106,0.004623261202747623
56,0.004786023711104218,0.004623114441831906
57,0.004783675154080478,0.004622572955364983
58,0.0047874924522347566,0.004622978623956442
59,0.004784609736284104,0.0046229909639805555
60,0.0047863186450629695,0.004622471674034993
61,0.0047837495008801545,0.00462276884354651
62,0.004786772358163101,0.0046232053233931465
63,0.004790777090664317,0.004622831242159009
64,0.004786355511807814,0.004624042892828584
65,0.004789192695170641,0.00462325398499767
66,0.004785256392163474,0.004623330198228359
67,0.0047878694788711824,0.004624549377088745
68,0.004788516498193509,0.004624152168010672
69,0.004788134871732171,0.004624196949104468
70,0.004786981053922962,0.004624537968387206
71,0.004786278870774478,0.004624695439512531
72,0.004785093842301427,0.004625206037114064
73,0.00478864441875641,0.004624913291384776
74,0.004788879986579825,0.004625501188760002
75,0.0047905373432469076,0.004625986330211163
76,0.004787271126832177,0.004624970800553759
77,0.004787670573355948,0.004625548298160235
78,0.00478865380012771,0.004626139998435974
79,0.004790886339345356,0.004626119586949547
80,0.0047881003105785785,0.004625800686577956
81,0.004788435495844702,0.004626363981515169
82,0.004788867186573221,0.004626246479650338
83,0.004789257978611603,0.004626983931909005
84,0.004790328795135748,0.0046262886219968396
85,0.004791710253168897,0.00462732813321054
86,0.00478541333137489,0.004627484905843933
87,0.004788404625908631,0.004628161123643319
88,0.00478840514835788,0.004628250453000267
89,0.004789072395552222,0.004628451773896813
90,0.00479036220917251,0.004628526900584499
