Epoch,Training Loss,Validation Loss
1,46553.33203125,46325.55078125
2,46314.30859375,46087.07421875
3,46075.890625,45849.32421875
4,45838.20703125,45612.21875
5,45601.16015625,45375.80078125
6,45364.8046875,45140.10546875
7,45129.16796875,44905.171875
8,44894.296875,44670.9453125
9,44660.125,44437.44140625
10,44426.6796875,44204.6875
11,44193.984375,43972.734375
12,43962.08984375,43741.59375
13,43731.01171875,43511.26953125
14,43500.75,43281.7109375
15,43271.24609375,43052.99609375
16,43042.58984375,42825.11328125
17,42814.765625,42598.046875
18,42587.7578125,42371.84375
19,42361.61328125,42146.4765625
20,42136.3046875,41921.91796875
21,41911.80078125,41698.26171875
22,41688.19921875,41475.42578125
23,41465.42578125,41253.44140625
24,41243.49609375,41032.35546875
25,41022.46875,40812.16015625
26,40802.32421875,40592.80859375
27,40583.03125,40374.2734375
28,40364.55859375,40156.6484375
29,40146.98046875,39939.89453125
30,39930.28125,39724.00390625
31,39714.44921875,39509.05859375
32,39499.5546875,39294.96875
33,39285.5234375,39081.73828125
34,39072.34375,38869.3984375
35,38860.0625,38658.015625
36,38648.734375,38447.5234375
37,38438.29296875,38237.9609375
38,38228.78125,38029.296875
39,38020.171875,37821.50390625
40,37812.4296875,37614.62890625
41,37605.609375,37408.64453125
42,37399.6796875,37203.57421875
43,37194.65625,36999.4296875
44,36990.5625,36796.171875
45,36787.36328125,36593.80078125
46,36585.04296875,36392.3828125
47,36383.67578125,36191.8359375
48,36183.171875,35992.17578125
49,35983.56640625,35793.3984375
50,35784.8359375,35595.53125
51,35587.01953125,35398.52734375
52,35390.06640625,35202.39453125
53,35193.984375,35007.15234375
54,34998.78515625,34812.7890625
55,34804.4765625,34619.3046875
56,34611.03515625,34426.7265625
57,34418.51171875,34235.03515625
58,34226.8671875,34044.1796875
59,34036.0625,33854.22265625
60,33846.15234375,33665.109375
61,33657.08984375,33476.8671875
62,33468.88671875,33289.54296875
63,33281.61328125,33103.08984375
64,33095.2109375,32917.484375
65,32909.6484375,32732.716796875
66,32724.92578125,32548.81640625
67,32541.072265625,32365.78125
68,32358.0859375,32183.59375
69,32175.943359375,32002.267578125
70,31994.666015625,31821.798828125
71,31814.23828125,31642.1328125
72,31634.62109375,31463.34375
73,31455.873046875,31285.38671875
74,31277.962890625,31108.2734375
75,31100.89453125,30932.0
76,30924.66796875,30756.5859375
77,30749.296875,30581.99609375
78,30574.751953125,30408.228515625
79,30401.029296875,30235.306640625
80,30228.14453125,30063.1875
81,30056.0703125,29891.86328125
82,29884.787109375,29721.359375
83,29714.328125,29551.662109375
84,29544.67578125,29382.759765625
85,29375.818359375,29214.673828125
86,29207.775390625,29047.42578125
87,29040.564453125,28880.986328125
88,28874.169921875,28715.337890625
89,28708.5625,28550.48828125
90,28543.751953125,28386.43359375
91,28379.740234375,28223.146484375
92,28216.49609375,28060.669921875
93,28054.05859375,27898.9453125
94,27892.37890625,27737.994140625
95,27731.466796875,27577.841796875
96,27571.353515625,27418.498046875
97,27412.05078125,27259.916015625
98,27253.505859375,27102.076171875
99,27095.70703125,26945.001953125
100,26938.671875,26788.7109375
101,26782.421875,26633.181640625
102,26626.9296875,26478.3984375
103,26472.185546875,26324.400390625
104,26318.224609375,26171.171875
105,26165.037109375,26018.689453125
106,26012.59375,25866.97265625
107,25860.9140625,25716.005859375
108,25709.984375,25565.79296875
109,25559.806640625,25416.31640625
110,25410.373046875,25267.6015625
111,25261.693359375,25119.603515625
112,25113.732421875,24972.328125
113,24966.49609375,24825.794921875
114,24819.998046875,24679.994140625
115,24674.232421875,24534.92578125
116,24529.203125,24390.556640625
117,24384.869140625,24246.923828125
118,24241.271484375,24104.00390625
119,24098.388671875,23961.78125
120,23956.19921875,23820.30078125
121,23814.75390625,23679.546875
122,23674.0390625,23539.51171875
123,23534.037109375,23400.181640625
124,23394.7421875,23261.58203125
125,23256.177734375,23123.701171875
126,23118.33203125,22986.509765625
127,22981.173828125,22850.01953125
128,22844.720703125,22714.2265625
129,22708.9609375,22579.125
130,22573.890625,22444.701171875
131,22439.50390625,22310.990234375
132,22305.82421875,22177.978515625
133,22172.845703125,22045.642578125
134,22040.541015625,21913.958984375
135,21908.892578125,21782.953125
136,21777.919921875,21652.630859375
137,21647.626953125,21522.982421875
138,21518.01171875,21394.005859375
139,21389.0703125,21265.708984375
140,21260.8046875,21138.091796875
141,21133.21875,21011.12109375
142,21006.279296875,20884.84765625
143,20880.037109375,20759.224609375
144,20754.4453125,20634.255859375
145,20629.5078125,20509.9375
146,20505.21875,20386.27734375
147,20381.591796875,20263.287109375
148,20258.630859375,20140.92578125
149,20136.298828125,20019.203125
150,20014.609375,19898.123046875
151,19893.556640625,19777.673828125
152,19773.142578125,19657.8515625
153,19653.34765625,19538.66796875
154,19534.193359375,19420.1328125
155,19415.685546875,19302.25
156,19297.83203125,19184.98046875
157,19180.59375,19068.365234375
158,19064.005859375,18952.369140625
159,18948.041015625,18836.998046875
160,18832.697265625,18722.24609375
161,18717.9765625,18608.1328125
162,18603.88671875,18494.62890625
163,18490.416015625,18381.74609375
164,18377.55859375,18269.466796875
165,18265.30859375,18157.802734375
166,18153.671875,18046.724609375
167,18042.62109375,17936.2421875
168,17932.166015625,17826.3359375
169,17822.2890625,17717.021484375
170,17712.998046875,17608.3125
171,17604.31640625,17500.1953125
172,17496.2265625,17392.671875
173,17388.732421875,17285.751953125
174,17281.837890625,17179.419921875
175,17175.53125,17073.673828125
176,17069.80859375,16968.509765625
177,16964.669921875,16863.947265625
178,16860.134765625,16759.955078125
179,16756.166015625,16656.53125
180,16652.771484375,16553.6796875
181,16549.943359375,16451.404296875
182,16447.693359375,16349.7119140625
183,16346.0263671875,16248.5634765625
184,16244.9033203125,16147.9638671875
185,16144.328125,16047.9130859375
186,16044.302734375,15948.4375
187,15944.853515625,15849.5244140625
188,15845.96484375,15751.158203125
189,15747.6240234375,15653.36328125
190,15649.8515625,15556.1123046875
191,15552.6240234375,15459.416015625
192,15455.951171875,15363.265625
193,15359.826171875,15267.6787109375
194,15264.2646484375,15172.6572265625
195,15169.2666015625,15078.1640625
196,15074.7939453125,14984.2001953125
197,14980.8544921875,14890.7705078125
198,14887.44921875,14797.8740234375
199,14794.5751953125,14705.5126953125
200,14702.236328125,14613.6494140625
201,14610.3955078125,14522.3115234375
202,14519.080078125,14431.4765625
203,14428.267578125,14341.1728515625
204,14337.9853515625,14251.3876953125
205,14248.2236328125,14162.119140625
206,14158.974609375,14073.376953125
207,14070.255859375,13985.1484375
208,13982.048828125,13897.4326171875
209,13894.35546875,13810.22265625
210,13807.16796875,13723.529296875
211,13720.4951171875,13637.3349609375
212,13634.3212890625,13551.6396484375
213,13548.6474609375,13466.4345703125
214,13463.462890625,13381.716796875
215,13378.765625,13297.515625
216,13294.5849609375,13213.7919921875
217,13210.8828125,13130.5732421875
218,13127.68359375,13047.8544921875
219,13044.9853515625,12965.6376953125
220,12962.787109375,12883.9072265625
221,12881.0771484375,12802.671875
222,12799.86328125,12721.9248046875
223,12719.13671875,12641.6708984375
