Epoch,Training Loss,Validation Loss
1,1057.4284453392029,79.1538803100586
2,96.5350193977356,39.69212265014649
3,18.501198023557663,8.411711692810059
4,7.53975123167038,4.913876247406006
5,3.9404565542936325,3.2668513298034667
6,2.7155613154172897,2.3613564014434814
7,2.093673698604107,1.8550817966461182
8,1.6839789599180222,1.5112150669097901
9,1.3834414258599281,1.2521997690200806
10,1.1545243933796883,1.0514739990234374
11,0.9733777195215225,0.8814104676246644
12,0.8080498836934566,0.7363176584243775
13,0.6846551783382893,0.6314225792884827
14,0.5904791615903378,0.5477369666099549
15,0.5157315228134394,0.4819610357284546
16,0.4560743123292923,0.42847138047218325
17,0.4070626627653837,0.38388302326202395
18,0.3588814679533243,0.3238208532333374
19,0.2839356046169996,0.24079446792602538
20,0.20858469605445862,0.17651976644992828
21,0.15775654464960098,0.14105120301246643
22,0.13328093849122524,0.12808850407600403
23,0.11756903724744916,0.10920973718166352
24,0.10706535913050175,0.10031820237636566
25,0.0956856207922101,0.09063175171613694
26,0.08728973846882582,0.08334254324436188
27,0.0803681118413806,0.07865853756666183
28,0.07687831949442625,0.07389843314886094
29,0.07110064849257469,0.06883126497268677
30,0.06704005179926753,0.06542396694421768
31,0.06419543200172484,0.0619427502155304
32,0.061798356706276536,0.05949962288141251
33,0.05877457116730511,0.05742909237742424
34,0.05616488214582205,0.0550606019794941
35,0.05445166188292205,0.056707418709993365
36,0.05421419767662883,0.05109427198767662
37,0.05052039120346308,0.049292878806591035
38,0.04828518512658775,0.047236204892396924
39,0.04878187598660588,0.04755544289946556
40,0.04645548760890961,0.04447270408272743
41,0.043759481282904744,0.042963838577270506
42,0.04232658725231886,0.04166196659207344
43,0.041144614573568106,0.04057836607098579
44,0.04010196938179433,0.0395820714533329
45,0.039166555274277925,0.03992661908268928
46,0.0406992482021451,0.03927907049655914
47,0.03785629407502711,0.036998610198497775
48,0.03666872205212712,0.036250146478414534
49,0.035846673883497715,0.03541153222322464
50,0.03506474359892309,0.03464788645505905
51,0.036150294123217463,0.04473911002278328
52,0.03621051483787596,0.03478341102600098
53,0.03316813241690397,0.03256378695368767
54,0.031967757269740105,0.031454724818468095
55,0.03113185055553913,0.03074021115899086
56,0.030420672381296754,0.030077855661511423
57,0.029978597536683083,0.03767079561948776
58,0.03668299922719598,0.03148045390844345
59,0.029911794350482523,0.028444559872150423
60,0.02833860064856708,0.027803648635745047
61,0.027546953409910202,0.027177998051047324
62,0.026889465283602476,0.026567718014121056
63,0.026289600762538612,0.02598644495010376
64,0.025705793173983693,0.02538524642586708
65,0.025100412545725703,0.0247794546186924
66,0.024499128106981516,0.02419084571301937
67,0.02392244152724743,0.02362513467669487
68,0.02353141945786774,0.024079960584640504
69,0.024083805037662387,0.02280789762735367
70,0.02270039264112711,0.022107119858264922
71,0.022164116497151554,0.022096233814954756
72,0.022407492739148438,0.02315211817622185
73,0.02178603713400662,0.021675559505820275
74,0.020957119995728135,0.020706715807318688
75,0.02133809227962047,0.020428458973765374
76,0.020461752079427242,0.021075093373656272
77,0.020042289630509913,0.019870325177907943
78,0.02054572629276663,0.01939992345869541
79,0.019591065123677254,0.01968420222401619
80,0.018938684253953397,0.018779385834932327
81,0.02031092334073037,0.018927500396966935
82,0.018675990169867873,0.018219226971268654
83,0.018212382798083127,0.017803877592086792
84,0.018174616037867963,0.018236647173762322
85,0.017763356678187847,0.017380965128540992
