Filename,Accuracy,Class Distribution
Defect_L16_B314_el4191_H2_W2.npy,0.7799454884521589,"10873,1,6,0,25,2,389,2167,401,5,42,1,4,0,2,1,0,1,22"
Defect_L10_B339_el4823_H2_W2.npy,0.8023239133553293,"11183,3,4,2,22,1,390,2168,23,0,94,3,5,7,4,1,1,3,28"
Defect_L18_B89_el4189_H8_W8.npy,0.7868311576531344,"10967,3,5,0,25,5,391,2168,20,69,134,4,8,85,9,1,0,0,48"
Defect_L7_B74_el1827_H4_W4.npy,0.8010328503801463,"11166,3,5,1,22,1,390,2162,0,47,85,2,9,6,10,1,1,4,27"
Defect_L18_B439_el6187_H2_W2.npy,0.8005307703342419,"11160,2,4,0,24,15,389,2170,65,1,76,2,1,1,0,4,0,0,28"
Defect_L11_B55_el791_H2_W2.npy,0.8267106584421173,"11523,5,4,2,19,5,435,1676,39,143,5,2,9,4,63,1,1,5,1"
Defect_L7_B35_el819_H4_W4.npy,0.6572945058097834,"9160,0,26,0,29,20,425,2132,602,4,963,5,12,187,45,4,0,1,327"
Defect_L9_B352_el4863_H2_W2.npy,0.8398364653564768,"11708,0,1,0,23,4,269,1603,43,155,4,0,7,0,106,1,0,18,0"
Defect_L6_B210_el6175_H4_W4.npy,0.7549132118777794,"10519,16,30,1,8,2,137,687,81,1239,59,1,40,168,329,3,5,579,38"
Defect_L5_B18_el149_H2_W2.npy,0.8187491034284895,"11415,1,4,0,109,6,106,1583,10,210,19,1,19,3,271,3,1,180,1"
Defect_L14_B431_el6171_H2_W2.npy,0.7597188351742935,"10590,0,17,0,20,5,371,2087,408,175,72,1,8,9,50,2,0,78,49"
Defect_L5_B106_el1461_H2_W2.npy,0.7981638215464065,"11125,0,3,0,22,2,421,2166,0,153,24,1,7,0,6,0,0,0,12"
Defect_L3_B280_el3825_H2_W2.npy,0.8148759145029407,"11360,1,6,1,104,3,185,1544,23,215,11,1,19,2,251,2,6,206,2"
Defect_L16_B21_el829_H8_W8.npy,0.8160235260364367,"11376,0,3,0,60,6,357,2031,31,32,1,0,5,0,3,4,1,32,0"
Defect_L6_B142_el1817_H2_W2.npy,0.8198249892411419,"11429,0,2,0,28,3,306,1950,72,70,7,0,5,0,6,5,1,58,0"
Defect_L11_B358_el5159_H2_W2.npy,0.7984507244297805,"11131,2,3,2,22,0,391,2166,42,1,124,4,5,6,5,2,1,3,32"
Defect_L5_B396_el5533_H2_W2.npy,0.7919236838330225,"11035,2,20,6,57,3,195,1728,393,272,13,1,14,14,57,3,3,123,3"
Defect_L18_B102_el2807_H4_W4.npy,0.7952947927126668,"11086,0,4,0,25,0,390,2165,14,95,116,4,1,13,3,2,0,0,24"
Defect_L6_B306_el4161_H2_W2.npy,0.8110027255773921,"11305,1,4,0,22,2,445,1971,45,103,4,0,5,3,25,6,0,0,1"
Defect_L16_B58_el1479_H4_W4.npy,0.8472242146033567,"11809,4,10,2,1,4,181,921,5,571,7,1,17,30,248,1,4,123,3"
Defect_L2_B110_el1469_H2_W2.npy,0.7892698321618132,"10972,12,24,9,5,5,66,635,179,775,18,1,23,176,70,2,9,928,33"
Defect_L5_B45_el2145_H8_W8.npy,0.7879070434657869,"10985,0,3,1,22,2,389,2172,295,0,57,2,2,0,3,0,0,0,9"
Defect_L10_B192_el5535_H4_W4.npy,0.818247023382585,"11408,0,2,0,27,5,321,1925,76,96,6,0,5,0,8,3,0,59,1"
Defect_L3_B149_el4179_H4_W4.npy,0.6575096829723138,"9145,25,30,0,23,0,398,2185,283,15,818,8,23,444,46,6,1,1,491"
Defect_L12_B100_el4854_H8_W8.npy,0.8238416296083776,"11486,5,9,5,78,3,76,1545,12,208,16,2,16,7,250,1,4,215,4"
Defect_L16_B409_el5843_H2_W2.npy,0.8063405537225649,"11240,0,3,0,24,0,390,2168,0,53,15,2,6,0,8,2,0,0,31"
Defect_L17_B39_el1816_H8_W8.npy,0.7465213025390905,"10403,2,9,0,26,9,387,2174,613,11,144,3,10,11,19,2,0,0,119"
Defect_L6_B48_H4_W8.npy,0.8148041887820973,"11357,0,5,0,24,4,296,1447,43,359,12,2,21,7,188,2,3,169,3"
Defect_L9_B36_el469_H2_W2.npy,0.8431358485152776,"11753,1,5,3,2,1,285,1485,47,127,2,1,9,5,193,1,1,20,1"
Defect_L16_B23_el159_H2_W2.npy,0.8035432506096686,"11201,1,3,0,25,3,389,2169,43,3,73,2,2,0,0,3,0,0,25"
Defect_L10_B70_el3475_H8_W8.npy,0.7527614402524745,"10488,1,18,10,10,12,84,857,168,996,112,2,43,128,343,5,15,647,3"
