Filename,Accuracy,Class Distribution
Defect_L16_B314_el4191_H2_W2.npy,0.9992110170707216,"13924,0,0,0,0,0,0,0,0,0,3,0,0,1,4,7,3,0,0"
Defect_L10_B339_el4823_H2_W2.npy,0.999713097116626,"13937,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0"
Defect_L18_B89_el4189_H8_W8.npy,0.9908191077320327,"13811,6,5,4,1,0,0,0,0,0,49,2,0,1,26,12,15,4,6"
Defect_L7_B74_el1827_H4_W4.npy,0.9983503084205996,"13908,0,0,0,0,0,13,2,1,2,3,0,7,6,0,0,0,0,0"
Defect_L18_B439_el6187_H2_W2.npy,0.999282742791565,"13931,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0"
Defect_L11_B55_el791_H2_W2.npy,0.9994261942332521,"13933,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0"
Defect_L7_B35_el819_H4_W4.npy,0.9989241141873476,"13909,0,0,0,0,0,19,9,1,4,0,0,0,0,0,0,0,0,0"
Defect_L9_B352_el4863_H2_W2.npy,0.9990675656290345,"13929,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0"
Defect_L6_B210_el6175_H4_W4.npy,0.9994979199540955,"13914,0,0,0,0,21,0,0,3,4,0,0,0,0,0,0,0,0,0"
Defect_L5_B18_el149_H2_W2.npy,0.999569645674939,"13932,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0"
Defect_L14_B431_el6171_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L5_B106_el1461_H2_W2.npy,0.9996413713957826,"13932,0,0,0,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0"
Defect_L3_B280_el3825_H2_W2.npy,0.9990675656290345,"13929,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,9,0"
Defect_L16_B21_el829_H8_W8.npy,0.9945488452158944,"13852,0,0,0,31,32,0,0,0,10,3,0,0,0,0,14,0,0,0"
Defect_L6_B142_el1817_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L11_B358_el5159_H2_W2.npy,0.9992110170707216,"13922,0,1,0,0,0,0,0,0,2,15,0,0,0,2,0,0,0,0"
Defect_L5_B396_el5533_H2_W2.npy,0.9997848228374695,"13932,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0"
Defect_L18_B102_el2807_H4_W4.npy,0.9979916798163821,"13912,0,0,0,1,0,0,0,0,0,2,1,0,1,0,4,19,2,0"
Defect_L6_B306_el4161_H2_W2.npy,0.9985654855831301,"13919,0,0,0,4,3,2,0,2,11,0,0,1,0,0,0,0,0,0"
Defect_L16_B58_el1479_H4_W4.npy,0.9986372113039736,"13914,0,0,0,0,4,0,0,0,0,1,2,0,0,12,9,0,0,0"
Defect_L2_B110_el1469_H2_W2.npy,0.9999282742791565,"13932,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
Defect_L5_B45_el2145_H8_W8.npy,0.9949074738201119,"13847,0,0,0,24,29,0,0,1,12,2,1,0,0,0,26,0,0,0"
Defect_L10_B192_el5535_H4_W4.npy,0.9994261942332521,"13909,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0"
Defect_L3_B149_el4179_H4_W4.npy,0.9969157940037298,"13897,9,5,2,1,5,5,1,0,7,0,0,0,2,0,1,3,4,0"
Defect_L12_B100_el4854_H8_W8.npy,0.9895997704776933,"13793,3,0,0,2,3,2,0,6,8,85,8,2,2,15,13,0,0,0"
Defect_L16_B409_el5843_H2_W2.npy,0.9997848228374695,"13932,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,0,0,0"
Defect_L17_B39_el1816_H8_W8.npy,0.9963419882369818,"13840,0,10,4,0,0,0,0,0,0,5,7,13,0,0,7,52,0,4"
Defect_L6_B48_H4_W8.npy,0.9975613254913211,"13887,0,0,0,5,21,0,0,1,28,0,0,0,0,0,0,0,0,0"
Defect_L9_B36_el469_H2_W2.npy,1.0,"13933,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0"
Defect_L16_B23_el159_H2_W2.npy,0.999282742791565,"13932,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L10_B70_el3475_H8_W8.npy,0.9949791995409554,"13817,0,0,0,13,2,0,0,3,89,18,0,0,0,0,0,0,0,0"
Defect_L17_B349_el4857_H2_W2.npy,0.9987089370248171,"13924,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0"
Defect_L3_B30_el1466_H8_W8.npy,0.9973461483287906,"13838,7,67,0,3,3,1,4,4,4,1,2,4,0,0,1,1,0,2"
Defect_L16_B413_el5851_H2_W2.npy,0.9997848228374695,"13932,0,0,0,2,0,0,1,0,0,0,0,0,0,0,7,0,0,0"
Defect_L16_B8_el143_H4_W4.npy,0.9980634055372256,"13915,0,0,0,11,11,1,0,4,0,0,0,0,0,0,0,0,0,0"
Defect_L19_B10_el465_H8_W8.npy,0.9924687993114331,"13837,55,21,0,1,3,2,6,4,6,2,3,2,0,0,0,0,0,0"
Defect_L12_B9_el147_H4_W4.npy,0.9980634055372256,"13915,0,0,0,2,1,2,9,13,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B258_el3497_H2_W2.npy,0.9994979199540955,"13926,9,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0"
Defect_L5_B6_el150_H8_W8.npy,0.9959116339119208,"13849,0,0,0,36,36,0,0,0,21,0,0,0,0,0,0,0,0,0"
Defect_L4_B234_el3151_H2_W2.npy,0.9990675656290345,"13927,0,3,3,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0"
Defect_L16_B105_el2835_H4_W4.npy,0.9973461483287906,"13915,0,0,0,0,0,0,0,0,0,13,0,3,0,11,0,0,0,0"
Defect_L7_B156_el1845_H2_W2.npy,0.999713097116626,"13930,0,0,0,0,0,9,0,0,0,1,0,0,1,0,1,0,0,0"
Defect_L15_B413_el5851_H2_W2.npy,0.9994979199540955,"13932,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,0"
Defect_L10_B112_el5512_H8_W8.npy,0.9963419882369818,"13821,0,0,0,0,16,0,0,0,105,0,0,0,0,0,0,0,0,0"
Defect_L11_B229_el3141_H2_W2.npy,0.999856548558313,"13933,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0"
Defect_L7_B354_el4867_H2_W2.npy,0.9990675656290345,"13929,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0"
Defect_L2_B58_el2810_H8_W8.npy,0.9939750394491464,"13839,19,3,3,21,3,0,0,1,30,1,0,0,2,0,6,1,0,13"
Defect_L13_B62_el805_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0"
Defect_L14_B7_el139_H4_W4.npy,0.9978482283746951,"13912,0,0,0,2,0,22,6,0,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B191_el2483_H2_W2.npy,0.9997848228374695,"13930,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0"
Defect_L18_B215_el2815_H2_W2.npy,0.999569645674939,"13933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0"
Defect_L15_B29_el455_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L6_B48_el493_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B60_el1487_H4_W4.npy,0.9994979199540955,"13910,26,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0"
Defect_L15_B72_el825_H2_W2.npy,0.9993544685124085,"13932,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0"
Defect_L2_B365_el5187_H2_W2.npy,0.9990675656290345,"13922,8,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0"
Defect_L13_B126_el1501_H2_W2.npy,0.999856548558313,"13933,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0"
Defect_L5_B36_el469_H2_W2.npy,0.999856548558313,"13932,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
Defect_L19_B58_el2810_H8_W8.npy,0.9942619423325204,"13836,5,1,1,0,0,0,0,0,0,31,0,1,2,19,10,5,5,26"
Defect_L18_B163_el4819_H4_W4.npy,0.9975613254913211,"13901,0,1,0,0,3,0,0,0,0,6,0,0,1,5,11,6,8,0"
Defect_L3_B419_el5863_H2_W2.npy,0.9997848228374695,"13930,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
Defect_L10_B180_el5203_H4_W4.npy,0.9993544685124085,"13909,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0"
Defect_L16_B17_el463_H4_W4.npy,0.9979916798163821,"13914,0,0,0,9,11,0,1,1,1,0,0,0,0,5,0,0,0,0"
