Filename,Accuracy,Class Distribution
Defect_L16_B314_el4191_H2_W2.npy,0.999569645674939,"13929,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,2,0"
Defect_L10_B339_el4823_H2_W2.npy,0.9994261942332521,"13941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
Defect_L18_B89_el4189_H8_W8.npy,0.9923970735905896,"13820,0,0,0,0,0,0,0,0,0,26,0,0,0,37,18,14,17,10"
Defect_L7_B74_el1827_H4_W4.npy,0.998852388466504,"13913,0,0,0,0,0,13,3,2,3,0,0,1,7,0,0,0,0,0"
Defect_L18_B439_el6187_H2_W2.npy,0.9993544685124085,"13929,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0"
Defect_L11_B55_el791_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0"
Defect_L7_B35_el819_H4_W4.npy,0.9986372113039736,"13913,0,0,0,0,0,10,4,2,3,0,0,1,9,0,0,0,0,0"
Defect_L9_B352_el4863_H2_W2.npy,0.999282742791565,"13934,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0"
Defect_L6_B210_el6175_H4_W4.npy,0.9997848228374695,"13914,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0"
Defect_L5_B18_el149_H2_W2.npy,0.999569645674939,"13932,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L14_B431_el6171_H2_W2.npy,0.9990675656290345,"13929,0,0,0,1,0,9,0,0,3,0,0,0,0,0,0,0,0,0"
Defect_L5_B106_el1461_H2_W2.npy,0.9999282742791565,"13933,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L3_B280_el3825_H2_W2.npy,0.9994261942332521,"13929,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0"
Defect_L16_B21_el829_H8_W8.npy,0.993759862286616,"13854,0,0,0,43,37,0,0,1,6,0,0,0,0,0,1,0,0,0"
Defect_L6_B142_el1817_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L11_B358_el5159_H2_W2.npy,0.9993544685124085,"13925,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0"
Defect_L5_B396_el5533_H2_W2.npy,0.9997848228374695,"13932,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0"
Defect_L18_B102_el2807_H4_W4.npy,0.9979199540955387,"13913,0,5,15,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L6_B306_el4161_H2_W2.npy,0.999569645674939,"13931,1,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L16_B58_el1479_H4_W4.npy,0.9981351312580692,"13916,0,0,0,9,16,0,0,1,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B110_el1469_H2_W2.npy,0.9997848228374695,"13932,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
Defect_L5_B45_el2145_H8_W8.npy,0.9977047769330082,"13850,0,0,0,60,19,0,0,1,11,0,0,0,0,0,1,0,0,0"
Defect_L10_B192_el5535_H4_W4.npy,0.9992110170707216,"13906,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0"
Defect_L3_B149_el4179_H4_W4.npy,0.9979199540955387,"13908,9,10,1,0,5,1,0,0,3,0,0,0,2,0,0,1,2,0"
Defect_L12_B100_el4854_H8_W8.npy,0.9893845933151628,"13792,0,0,0,0,0,0,0,0,0,68,13,4,1,51,6,0,0,7"
Defect_L16_B409_el5843_H2_W2.npy,0.999856548558313,"13933,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0"
Defect_L17_B39_el1816_H8_W8.npy,0.994190216611677,"13845,12,12,36,1,7,0,1,2,2,0,1,6,1,0,0,16,0,0"
Defect_L6_B48_H4_W8.npy,0.9982785826997561,"13890,0,0,0,7,29,0,0,0,16,0,0,0,0,0,0,0,0,0"
Defect_L9_B36_el469_H2_W2.npy,0.9994261942332521,"13932,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0"
Defect_L16_B23_el159_H2_W2.npy,0.999282742791565,"13932,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L10_B70_el3475_H8_W8.npy,0.9982068569789126,"13843,0,0,0,0,4,0,0,0,95,0,0,0,0,0,0,0,0,0"
Defect_L17_B349_el4857_H2_W2.npy,0.998852388466504,"13927,0,0,0,0,0,0,0,0,0,6,0,0,0,8,1,0,0,0"
Defect_L3_B30_el1466_H8_W8.npy,0.9973461483287906,"13842,12,64,5,0,6,0,0,0,5,0,0,7,1,0,0,0,0,0"
Defect_L16_B413_el5851_H2_W2.npy,0.9999282742791565,"13933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0"
Defect_L16_B8_el143_H4_W4.npy,0.9980634055372256,"13915,0,0,0,7,16,2,0,2,0,0,0,0,0,0,0,0,0,0"
Defect_L19_B10_el465_H8_W8.npy,0.9928991536364941,"13843,64,10,5,0,6,2,0,1,4,0,2,5,0,0,0,0,0,0"
Defect_L12_B9_el147_H4_W4.npy,0.9984937598622866,"13917,0,0,0,0,2,2,7,5,0,0,4,5,0,0,0,0,0,0"
Defect_L2_B258_el3497_H2_W2.npy,0.9994261942332521,"13925,9,1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0"
Defect_L5_B6_el150_H8_W8.npy,0.9954812795868598,"13854,0,0,0,25,52,0,0,1,6,0,0,0,0,0,4,0,0,0"
Defect_L4_B234_el3151_H2_W2.npy,0.9993544685124085,"13930,1,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L16_B105_el2835_H4_W4.npy,0.9974178740496342,"13918,0,0,0,5,7,2,0,0,10,0,0,0,0,0,0,0,0,0"
Defect_L7_B156_el1845_H2_W2.npy,1.0,"13933,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L15_B413_el5851_H2_W2.npy,0.9999282742791565,"13933,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0"
Defect_L10_B112_el5512_H8_W8.npy,0.9957681824702338,"13815,0,0,0,3,17,0,0,1,105,0,0,0,0,0,1,0,0,0"
Defect_L11_B229_el3141_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0"
Defect_L7_B354_el4867_H2_W2.npy,0.9992110170707216,"13932,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0"
Defect_L2_B58_el2810_H8_W8.npy,0.9951226509826424,"13840,37,2,3,22,16,1,0,0,21,0,0,0,0,0,0,0,0,0"
Defect_L13_B62_el805_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0"
Defect_L14_B7_el139_H4_W4.npy,0.9987806627456606,"13915,0,0,1,0,0,10,3,2,0,0,0,1,10,0,0,0,0,0"
Defect_L2_B191_el2483_H2_W2.npy,0.999713097116626,"13931,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L18_B215_el2815_H2_W2.npy,0.9993544685124085,"13933,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
Defect_L15_B29_el455_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L6_B48_el493_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B60_el1487_H4_W4.npy,0.9996413713957826,"13913,24,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0"
Defect_L15_B72_el825_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L2_B365_el5187_H2_W2.npy,0.998852388466504,"13919,10,1,0,4,1,0,0,0,3,0,0,0,0,1,1,1,1,0"
Defect_L13_B126_el1501_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0"
Defect_L5_B36_el469_H2_W2.npy,0.9997848228374695,"13932,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
Defect_L19_B58_el2810_H8_W8.npy,0.9924687993114331,"13837,33,6,2,28,10,1,0,0,24,0,0,0,0,0,0,1,0,0"
Defect_L18_B163_el4819_H4_W4.npy,0.9969875197245732,"13896,0,0,0,0,0,0,0,0,0,3,0,0,1,13,11,7,7,4"
Defect_L3_B419_el5863_H2_W2.npy,0.999713097116626,"13929,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0"
Defect_L10_B180_el5203_H4_W4.npy,0.9994261942332521,"13911,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0"
Defect_L16_B17_el463_H4_W4.npy,0.9981351312580692,"13915,0,0,0,8,17,0,0,1,0,0,0,0,0,0,1,0,0,0"
