Filename,Accuracy,Class Distribution
Defect_L7_B440_el6189_H2_W2.npy,0.7604360923827285,"10601,0,41,0,0,5,5,1,61,1260,1944,2,0,0,15,7,0,0,0"
NoiseDefectFree_000553.npy,0.7853966432362646,"10950,1,4,0,0,0,0,0,0,1140,1821,3,0,0,16,6,0,0,1"
NoiseDefectFree_003145.npy,0.7776502653851671,"10842,1,7,0,0,0,0,0,0,1133,1924,1,0,0,27,6,0,0,1"
Defect_L7_B70_el1811_H4_W4.npy,0.700186486874193,"9755,0,52,0,0,40,7,9,86,1817,2060,44,0,0,51,20,0,0,1"
NoiseDefectFree_002057.npy,0.7891263807201262,"11002,0,7,0,0,0,0,0,0,1015,1891,0,0,0,17,9,0,0,1"
NoiseDefectFree_001926.npy,0.7853966432362646,"10950,2,9,0,0,0,0,0,0,1107,1855,0,0,0,15,3,0,0,1"
NoiseDefectFree_000635.npy,0.7812365514273418,"10892,4,7,0,0,0,0,0,0,1120,1890,0,0,0,23,4,0,0,2"
Defect_L6_B346_el4851_H2_W2.npy,0.7816669057524028,"10898,0,31,0,0,0,0,0,18,1074,1888,0,0,0,24,8,0,0,1"
Defect_L12_B252_el3485_H2_W2.npy,0.7654568928417731,"10672,1,7,0,0,1,0,0,1,1231,1737,57,0,0,190,29,11,0,5"
Defect_L8_B414_el5853_H2_W2.npy,0.7600057380576675,"10596,0,63,0,0,6,0,0,65,1277,1857,3,0,0,62,13,0,0,0"
NoiseDefectFree_000106.npy,0.7885525749533783,"10994,0,9,0,0,0,0,0,0,1091,1822,2,0,0,16,7,0,0,1"
NoiseDefectFree_003042.npy,0.7825276144025247,"10910,0,8,0,0,0,0,0,0,1088,1910,1,0,0,20,5,0,0,0"
NoiseDefectFree_001710.npy,0.7759288480849232,"10818,0,9,0,0,0,0,0,0,1173,1913,3,0,0,19,4,0,1,2"
NoiseDefectFree_000090.npy,0.77894132836035,"10860,0,7,0,0,0,0,0,0,1106,1939,0,0,0,21,9,0,0,0"
Defect_L17_B8_el143_H4_W4.npy,0.7361927987376273,"10253,3,23,0,0,0,0,0,11,1220,1895,60,2,8,383,52,20,7,5"
NoiseDefectFree_003175.npy,0.7851097403528905,"10946,0,5,0,0,0,0,0,0,1083,1879,3,0,0,19,7,0,0,0"
NoiseDefectFree_000918.npy,0.7825993401233683,"10911,0,12,0,0,0,0,0,0,1102,1882,0,0,0,29,5,0,0,1"
Defect_L16_B55_el2502_H8_W8.npy,0.6237985941758715,"8687,1,14,0,0,0,0,0,42,1921,2240,117,3,1,812,82,17,0,5"
Defect_L7_B185_el5507_H4_W4.npy,0.7148185339262659,"9957,1,69,0,0,48,10,6,126,1740,1818,66,0,0,76,22,0,0,3"
NoiseDefectFree_001950.npy,0.7886243006742217,"10995,0,6,0,0,0,0,0,0,1088,1818,4,0,0,26,5,0,0,0"
Defect_L5_B94_el1153_H2_W2.npy,0.7734901735762444,"10784,3,31,0,0,7,0,0,27,1172,1894,2,0,0,15,7,0,0,0"
NoiseDefectFree_000002.npy,0.7828862430067423,"10915,1,2,0,0,0,0,0,0,1046,1945,0,0,0,24,9,0,0,0"
Defect_L15_B57_el2803_H8_W8.npy,0.7087218476545689,"9813,0,7,0,0,0,0,0,82,1525,1713,121,0,0,608,52,16,3,2"
Defect_L14_B30_el799_H4_W4.npy,0.6964567493903314,"9695,0,18,0,0,0,0,0,6,1503,2212,104,2,16,285,79,10,2,10"
NoiseDefectFree_002721.npy,0.7910629751829006,"11029,0,8,0,0,0,0,0,0,1076,1802,0,0,0,17,10,0,0,0"
Defect_L13_B5_el143_H8_W8.npy,0.6573662315306269,"9161,1,38,0,0,1,0,0,23,1715,1984,120,4,56,711,99,23,3,3"
NoiseDefectFree_003118.npy,0.7833165973318031,"10921,1,5,0,0,0,0,0,0,1125,1866,0,0,0,18,5,0,1,0"
Defect_L17_B63_el3139_H8_W8.npy,0.6489025964710945,"9034,6,44,0,0,0,0,0,216,1874,1478,195,3,31,946,70,26,15,4"
NoiseDefectFree_003763.npy,0.7897001864868742,"11010,1,10,0,0,0,0,0,0,1031,1855,0,0,0,22,12,0,0,1"
NoiseDefectFree_000214.npy,0.7792999569645674,"10865,0,5,0,0,0,0,0,0,1144,1895,0,0,0,25,5,0,0,3"
NoiseDefectFree_000779.npy,0.7920671352747095,"11043,3,3,0,0,0,0,0,0,1071,1789,3,0,0,25,5,0,0,0"
NoiseDefectFree_003497.npy,0.7869746090948214,"10972,2,10,0,0,0,0,0,0,1103,1832,2,0,0,14,4,0,0,3"
Defect_L2_B189_el2479_H2_W2.npy,0.7328934155788266,"10218,0,51,0,0,7,4,0,47,1374,2173,1,0,0,62,5,0,0,0"
NoiseDefectFree_002044.npy,0.7836035002151772,"10925,1,5,0,0,0,0,0,0,1069,1911,0,0,0,21,10,0,0,0"
Defect_L8_B316_el4195_H2_W2.npy,0.76703485870033,"10694,0,30,0,0,7,0,0,47,1204,1910,1,0,0,38,9,0,0,2"
Defect_L10_B361_el5165_H2_W2.npy,0.7632333954956247,"10635,2,51,0,0,3,1,0,40,1270,1859,1,0,0,73,7,0,0,0"
Defect_L17_B373_el5203_H2_W2.npy,0.779084779802037,"10862,1,11,0,0,0,0,0,0,1124,1774,52,2,0,79,25,5,2,5"
Defect_L11_B106_el1461_H2_W2.npy,0.753550423181753,"10506,0,4,0,0,1,0,0,0,1161,2050,41,0,0,114,32,18,4,11"
Defect_L6_B312_el4187_H2_W2.npy,0.7790130540811935,"10859,1,26,0,0,5,0,0,27,1135,1853,0,0,0,26,10,0,0,0"
NoiseDefectFree_004168.npy,0.7818820829149333,"10901,2,7,0,0,0,0,0,0,1095,1905,1,0,0,23,7,0,0,1"
NoiseDefectFree_003789.npy,0.7896284607660307,"11009,2,3,0,0,0,0,0,0,1071,1823,1,0,0,26,6,0,0,1"
NoiseDefectFree_000584.npy,0.7815951800315594,"10897,1,2,0,0,0,0,0,0,1144,1869,2,0,0,21,4,0,0,2"
Defect_L2_B124_el6170_H8_W8.npy,0.630397360493473,"8789,0,132,4,2,130,3,34,251,2002,1899,407,0,0,234,40,11,2,2"
Defect_L8_B61_el1491_H4_W4.npy,0.7044183044039593,"9810,0,92,0,0,48,1,11,81,1804,1921,66,0,0,77,27,2,0,2"
NoiseDefectFree_000117.npy,0.7831731458901162,"10919,1,6,0,0,0,0,0,0,1130,1870,0,0,0,15,1,0,0,0"
Defect_L3_B27_el787_H4_W4.npy,0.6908621431645388,"9611,1,113,1,0,32,2,2,46,1677,2108,132,0,0,155,16,16,3,27"
Defect_L12_B105_el2835_H4_W4.npy,0.688710371539234,"9601,0,7,0,0,0,0,0,0,1528,2286,92,0,0,368,32,21,3,4"
Defect_L7_B240_el3177_H2_W2.npy,0.7699038875340697,"10734,1,26,0,0,3,0,0,44,1229,1872,0,0,0,20,11,0,0,2"
Defect_L15_B26_el499_H4_W4.npy,0.7415005020800459,"10323,0,2,0,0,0,0,0,0,1251,2016,82,0,0,192,65,5,3,3"
NoiseDefectFree_001764.npy,0.7829579687275857,"10916,2,6,0,0,0,0,0,0,1111,1865,1,0,0,31,3,0,0,7"
NoiseDefectFree_001876.npy,0.7805192942189069,"10882,0,6,0,0,0,0,0,0,1096,1928,1,0,0,23,5,0,0,1"
NoiseDefectFree_003225.npy,0.7856835461196385,"10954,1,6,0,0,0,0,0,0,1091,1854,0,0,0,24,12,0,0,0"
NoiseDefectFree_000527.npy,0.7881222206283173,"10988,1,9,0,0,0,0,0,0,1053,1867,0,0,0,17,6,0,0,1"
Defect_L17_B40_el1123_H4_W4.npy,0.6938746234399655,"9661,1,75,0,0,2,0,0,40,1523,2147,98,2,8,285,59,27,10,4"
NoiseDefectFree_002947.npy,0.7871897862573519,"10975,0,5,0,0,0,0,0,0,1096,1830,1,0,0,28,7,0,0,0"
NoiseDefectFree_004474.npy,0.7798737627313155,"10873,0,13,0,0,0,0,0,0,1145,1884,1,0,0,18,8,0,0,0"
Defect_L16_B108_H4_W8.npy,0.746879931143308,"10407,0,8,0,0,0,0,0,43,1485,1417,125,0,0,403,41,7,3,3"
Defect_L15_B242_el3181_H2_W2.npy,0.7788696026395066,"10851,2,4,0,0,0,0,0,0,1108,1853,29,0,0,68,22,2,0,3"
NoiseDefectFree_000960.npy,0.7827427915650552,"10913,0,1,0,0,0,0,0,0,1079,1927,0,0,0,19,3,0,0,0"
Defect_L12_B83_el3853_H8_W8.npy,0.6578683115765314,"9156,1,15,0,0,0,0,0,211,1852,1424,235,0,3,931,81,24,5,4"
NoiseDefectFree_003634.npy,0.7812365514273418,"10892,1,5,0,0,0,0,0,0,1086,1925,2,0,0,22,8,0,0,1"
NoiseDefectFree_001051.npy,0.7838186773777076,"10928,1,6,0,0,0,0,0,0,1167,1809,0,0,0,22,8,0,0,1"
NoiseDefectFree_003381.npy,0.7849662889112036,"10944,0,7,0,0,0,0,0,0,1081,1881,2,0,0,19,7,0,0,1"
NoiseDefectFree_003677.npy,0.779228231243724,"10864,0,6,0,0,0,0,0,0,1122,1910,0,0,0,30,6,0,1,3"
Defect_L16_B126_el6184_H8_W8.npy,0.6794577535504231,"9454,2,3,0,0,0,0,0,11,1745,1590,151,3,4,834,122,18,1,4"
Defect_L11_B26_el1151_H8_W8.npy,0.6301821833309424,"8785,3,85,0,0,0,0,0,48,1755,2081,135,0,0,892,114,19,3,22"
Defect_L3_B425_el5875_H2_W2.npy,0.7648113613541816,"10657,2,55,2,0,9,3,1,55,1146,1958,2,0,0,39,9,0,1,3"
Defect_L8_B82_el1129_H2_W2.npy,0.747023382584995,"10415,0,62,0,0,16,0,0,38,1344,2016,17,0,0,27,6,0,0,1"
NoiseDefectFree_001608.npy,0.7804475684980634,"10881,0,5,0,0,0,0,0,0,1054,1958,1,0,0,29,12,0,0,2"
NoiseDefectFree_003611.npy,0.7790130540811935,"10861,0,7,0,0,0,0,0,0,1157,1893,1,0,0,20,3,0,0,0"
Defect_L16_B143_el1819_H2_W2.npy,0.7617988810787548,"10615,0,6,0,0,0,0,0,0,1199,1985,33,0,0,66,30,2,0,6"
Defect_L9_B70_el1811_H4_W4.npy,0.6854109883804332,"9537,0,81,1,0,37,0,0,98,1877,2083,75,0,0,127,23,2,0,1"
Defect_L5_B1_el115_H2_W2.npy,0.7678238416296084,"10705,2,47,0,0,3,1,0,28,1138,1931,44,0,0,35,5,0,0,3"
NoiseDefectFree_000792.npy,0.7807344713814374,"10885,3,3,0,0,0,0,0,0,1105,1921,0,0,0,23,2,0,0,0"
NoiseDefectFree_003057.npy,0.7824558886816813,"10909,0,4,0,0,0,0,0,0,1056,1942,0,0,0,25,6,0,0,0"
NoiseDefectFree_001981.npy,0.7884091235116913,"10992,0,11,0,0,0,0,0,0,1070,1842,1,0,0,21,3,0,0,2"
NoiseDefectFree_003599.npy,0.7822407115191508,"10906,1,11,0,0,0,0,0,0,1104,1889,0,0,0,25,5,0,0,1"
NoiseDefectFree_000934.npy,0.7845359345861426,"10938,4,11,0,0,0,0,0,0,1086,1874,1,0,0,17,9,0,0,2"
Defect_L7_B6_el125_H2_W2.npy,0.7694018074881652,"10725,0,46,1,0,8,3,0,24,1235,1842,21,0,0,33,1,0,1,2"
Defect_L10_B259_el3499_H2_W2.npy,0.778654425476976,"10849,2,57,0,0,2,0,0,36,1115,1754,54,0,0,59,11,0,0,3"
NoiseDefectFree_001683.npy,0.7833883230526467,"10922,2,5,0,0,0,0,0,0,1085,1893,1,0,0,27,4,0,0,3"
NoiseDefectFree_004180.npy,0.7823841629608378,"10908,0,10,0,0,0,0,0,0,1100,1891,1,0,0,21,9,0,0,2"
Defect_L14_B178_el5195_H4_W4.npy,0.7511117486730742,"10460,1,10,0,0,0,0,0,12,1090,1817,143,2,12,327,50,14,1,3"
NoiseDefectFree_004117.npy,0.7831014201692728,"10918,0,11,0,0,0,0,0,0,1101,1883,0,0,0,20,9,0,0,0"
NoiseDefectFree_000989.npy,0.7805910199397504,"10883,0,9,0,0,0,0,0,0,1135,1896,1,0,0,11,6,0,0,1"
NoiseDefectFree_002897.npy,0.7841055802610816,"10932,1,7,0,0,0,0,0,0,1085,1897,1,0,0,15,4,0,0,0"
NoiseDefectFree_003779.npy,0.7893415578826567,"11005,0,5,0,0,0,0,0,0,1060,1852,1,0,0,17,2,0,0,0"
Defect_L2_B43_el1135_H4_W4.npy,0.6816812508965715,"9504,1,127,2,0,54,3,2,54,1656,2218,93,0,0,154,48,14,2,10"
NoiseDefectFree_003094.npy,0.7839621288193946,"10930,1,4,0,0,0,0,0,0,1114,1867,1,0,0,22,3,0,0,0"
NoiseDefectFree_003156.npy,0.7875484148615693,"10980,2,4,0,0,0,0,0,0,1085,1827,0,0,0,31,12,0,0,1"
NoiseDefectFree_001824.npy,0.7838186773777076,"10928,0,6,0,0,0,0,0,0,1071,1906,0,0,0,24,6,0,0,1"
Defect_L3_B361_el5165_H2_W2.npy,0.7645244584708076,"10656,2,40,2,0,7,3,0,54,1286,1831,0,0,0,51,10,0,0,0"
NoiseDefectFree_001099.npy,0.7827427915650552,"10913,1,7,0,0,0,0,0,0,1151,1835,0,0,0,30,4,0,0,1"
NoiseDefectFree_002845.npy,0.7831014201692728,"10918,2,2,0,0,0,0,1,0,1078,1911,1,0,0,24,5,0,0,0"
NoiseDefectFree_003343.npy,0.7843207574236121,"10935,1,7,0,0,0,0,0,0,1101,1865,0,0,0,25,5,0,0,3"
NoiseDefectFree_000039.npy,0.7851097403528905,"10946,0,3,0,0,0,0,0,0,1083,1869,1,0,0,34,5,0,0,1"
Defect_L12_B215_el2815_H2_W2.npy,0.7542676803901879,"10516,0,5,0,0,0,0,0,0,1223,1961,43,0,0,161,24,6,1,2"
Defect_L11_B129_el6205_H8_W8.npy,0.6536364940467652,"9113,0,27,0,0,0,4,0,222,1594,1789,105,0,0,948,92,37,2,9"
NoiseDefectFree_003357.npy,0.7853966432362646,"10950,1,6,0,0,0,0,0,0,1099,1858,0,0,0,22,6,0,0,0"
Defect_L3_B118_el5841_H8_W8.npy,0.6246593028259934,"8661,0,172,2,0,225,4,26,231,2032,1912,318,0,0,289,50,13,1,6"
Defect_L12_B388_el5517_H2_W2.npy,0.7732032706928704,"10780,1,11,0,0,0,0,0,24,1153,1704,69,0,0,138,26,25,2,9"
Defect_L2_B330_el4521_H2_W2.npy,0.771697030555157,"10759,2,28,0,0,6,2,0,18,1232,1860,0,0,0,29,5,0,0,1"
NoiseDefectFree_002429.npy,0.7879070434657869,"10985,0,7,0,0,0,0,0,0,1015,1897,0,0,0,31,6,0,1,0"
Defect_L6_B89_el4189_H8_W8.npy,0.6799598335963276,"9475,0,42,0,0,50,0,0,128,1831,2173,30,0,0,197,14,0,0,2"
Defect_L10_B80_el1125_H2_W2.npy,0.7485296227227084,"10429,2,58,0,0,8,1,0,23,1358,1995,25,0,0,31,8,0,1,3"
NoiseDefectFree_004812.npy,0.778510974035289,"10854,0,3,0,0,0,0,0,0,1117,1939,0,0,0,20,5,0,1,3"
Defect_L12_B101_el4861_H8_W8.npy,0.702051355616124,"9784,0,6,0,0,0,0,0,205,1233,1849,205,0,0,560,75,18,2,5"
NoiseDefectFree_000687.npy,0.7836752259360207,"10926,2,11,0,0,0,0,0,0,1088,1878,3,0,0,28,5,0,0,1"
NoiseDefectFree_004800.npy,0.7894850093243437,"11007,1,5,0,0,0,0,0,0,1072,1834,0,0,0,19,3,0,0,1"
Defect_L2_B70_el821_H2_W2.npy,0.7649548127958686,"10665,2,67,0,0,7,3,0,19,1230,1912,0,0,0,27,8,0,0,2"
NoiseDefectFree_002354.npy,0.7866159804906039,"10967,1,4,0,0,0,0,0,0,1050,1879,0,0,0,29,8,0,0,4"
Defect_L16_B367_el5191_H2_W2.npy,0.7843924831444556,"10934,1,9,0,0,0,0,0,0,1028,1735,56,3,0,138,22,11,2,3"
NoiseDefectFree_004570.npy,0.7877635920240998,"10983,2,7,0,0,0,0,0,0,1049,1873,0,0,0,19,9,0,0,0"
Defect_L5_B19_el151_H2_W2.npy,0.7719839334385311,"10763,4,48,1,0,3,1,0,24,1128,1931,4,0,0,28,7,0,0,0"
NoiseDefectFree_002753.npy,0.7912064266245876,"11031,0,11,0,0,0,0,0,0,1039,1821,0,0,0,29,8,0,0,3"
