Epoch,Training Loss,Validation Loss
1,0.2791682183742523,0.27752263156267315
2,0.2786048948764801,0.27695436431811404
3,0.27804243564605713,0.27638693153858185
4,0.27748095989227295,0.2758204833819316
5,0.2769206464290619,0.2752550874765103
6,0.2763613164424896,0.2746908561541484
7,0.2758033275604248,0.27412795103513277
8,0.2752469778060913,0.27356642943162185
9,0.27469220757484436,0.27300627873494077
10,0.27413904666900635,0.27244748175144196
11,0.27358725666999817,0.27188999033891237
12,0.27303701639175415,0.27133375520889574
13,0.2724880576133728,0.27077874885155606
14,0.2719402611255646,0.27022486237379223
15,0.2713935971260071,0.2696720797281999
16,0.2708480656147003,0.26912030577659607
17,0.2703036367893219,0.26856949352301085
18,0.2697603404521942,0.26801960399517644
19,0.2692180573940277,0.2674706234381749
20,0.2686768174171448,0.266922536950845
21,0.2681364417076111,0.26637533880197084
22,0.2675970494747162,0.2658290840112246
23,0.267058402299881,0.2652838367682237
24,0.2665208578109741,0.2647395569544572
25,0.26598429679870605,0.2641962067439006
26,0.26544874906539917,0.26365379645274234
27,0.2649141550064087,0.2631123306659552
28,0.2643803656101227,0.2625717463401648
29,0.26384735107421875,0.26203204232912797
30,0.2633152902126312,0.2614933538895387
31,0.26278436183929443,0.2609556397566429
32,0.2622544467449188,0.2604188449107684
33,0.26172545552253723,0.2598830438577212
34,0.2611975073814392,0.2593481896015314
35,0.2606704533100128,0.25881416407915264
36,0.2601441442966461,0.2582808824685904
37,0.2596183717250824,0.2577483012126042
38,0.2590930759906769,0.2572163205880385
39,0.2585681974887848,0.2566848546266556
40,0.2580438256263733,0.25615382767640626
41,0.25751981139183044,0.25562320764248186
42,0.2569962739944458,0.2550930254734479
43,0.25647324323654175,0.25456324448952306
44,0.2559507489204407,0.25403372141031116
45,0.25542864203453064,0.2535044367496784
46,0.25490662455558777,0.252975460428458
47,0.25438493490219116,0.2524466858460353
48,0.25386354327201843,0.2519183044250195
49,0.25334247946739197,0.25139030011800617
50,0.25282174348831177,0.25086263624521404
51,0.25230133533477783,0.2503352365814723
52,0.25178107619285583,0.2498080346446771
53,0.2512609362602234,0.24928103444667962
54,0.25074100494384766,0.24875427897159869
55,0.25022149085998535,0.24822778885181135
56,0.24970237910747528,0.24770146551040503
57,0.24918335676193237,0.24717519260369814
58,0.24866430461406708,0.24664914092192283
59,0.2481454312801361,0.24612342566251755
