Epoch,Training Loss,Validation Loss
1,0.14033405472420984,0.07217803742827439
2,0.0709271553305932,0.06099061113668651
3,0.05556358669505075,0.05057581377828994
4,0.049153212538379946,0.04560394576046525
5,0.05263274405611518,0.04939499288433936
6,0.04609672149160394,0.04454948198868007
7,0.045943792863392535,0.04503666555009237
8,0.04504290308205434,0.04409147008526616
9,0.06320955708944871,0.04452520245459021
10,0.045836903177845625,0.04408336621595592
11,0.04518633696860001,0.04511610109631608
12,0.04478586883640584,0.043871453804213825
13,0.044781168934279754,0.043903349285445564
14,0.0444991657924321,0.04419344200230226
15,0.044149574685703824,0.043598186133838285
16,0.044002932473373266,0.04415549610446139
17,0.05751941446214914,0.07224837726936108
18,0.061142008360705255,0.04588376912401944
19,0.04456585937720022,0.04402114977923835
20,0.044206484922288375,0.043463080758001746
21,0.044288304105493025,0.04335745160536068
22,0.044892545892960496,0.04365832812902404
23,0.04407877964829957,0.04336721177508191
24,0.0435683411879488,0.04326317831873894
25,0.043822844673729974,0.0487998337825624
26,0.04369246628549364,0.04299526198244676
27,0.043435228597602724,0.04335231733758275
28,0.043743151538993844,0.0425795708305952
29,0.04396912238250176,0.04281237866820359
30,0.0435419608551411,0.04287800401812646
31,0.04341365677523024,0.042599927997443734
32,0.04325003797809283,0.04428622190181802
33,0.04377347666678237,0.04240040899049945
34,0.04329803704433603,0.042433917431569684
35,0.045256774240161904,0.04284997238982015
36,0.04316081925306791,0.042582192889800884
37,0.043399166499758945,0.05000979844026449
38,0.04351979751645783,0.04315463653424891
39,0.04302568788881655,0.04503618298870761
40,0.04288202151656151,0.04251876718750814
41,0.043372440002398725,0.04265080246983505
42,0.04315426010914423,0.04853031429939154
43,0.04299578552398785,0.04468850591560689
44,0.043919675420095894,0.042953679746970896
45,0.043015899366618676,0.042624074420550974
46,0.043260001209507015,0.04427718571046504
47,0.042738185390646076,0.04236250643323108
48,0.04371075571319203,0.04472343341969862
49,0.04259872008804922,0.04235177559823525
50,0.043120801621289166,0.04252143367761519
51,0.04263891369380333,0.04231158534928066
52,0.04340379305735782,0.04357782624116758
53,0.04291855234560775,0.042649012513277004
54,0.04277813171300991,0.0422684276794515
55,0.042875576522891166,0.0422607578518914
56,0.04361270348552936,0.042352854932953675
57,0.04255083943774671,0.04224020669736513
58,0.042977365021260434,0.04311935503671809
59,0.04272537539356652,0.04225926201154546
60,0.04290395655473809,0.04223508351459736
61,0.04335370043545594,0.04327983509113149
62,0.04254972072387183,0.04217130554521956
63,0.042595791480975385,0.04227891010118694
64,0.04277818454544485,0.04227206556171906
65,0.04278819615964168,0.04221738211628867
66,0.04328641731200027,0.04229851221529449
67,0.042815885621548436,0.043012907137958016
68,0.04258383888705277,0.04258556373235656
69,0.04249167388282073,0.0422378028856545
70,0.042602146251334086,0.04220888472911788
71,0.04256259802912856,0.04722109818603934
72,0.04284054759521911,0.042263106420272735
73,0.04230760957723782,0.042197639077174956
74,0.04254257294958756,0.04234023301339731
75,0.04302610674252113,0.042838614979168264
76,0.04308073032923319,0.042142814706738405
77,0.04250809388166225,0.04208059945121044
78,0.04278591018813996,0.042165574413247225
79,0.04268542861129031,0.042385840107028075
80,0.042943292791828694,0.0420765101727916
81,0.04260834275434414,0.04224407781914967
82,0.04267401482771944,0.04204838341329156
83,0.042382981823642314,0.04239820152884576
84,0.042457014287787455,0.04535335275094684
85,0.04274463863974368,0.04210044380004813
86,0.042922112320400316,0.04234865989263465
87,0.042601043726375076,0.04602262350480731
88,0.042485414590272635,0.045329348797478325
89,0.04282837638194546,0.042037279322379974
90,0.04289938281807634,0.04204118624329567
91,0.04243939342322173,0.04222084709056994
92,0.04240432272400753,0.047271471016290714
93,0.04265224186266646,0.04261213986248505
94,0.04296014920153,0.04291679437567548
95,0.04233493970960011,0.04214887666266139
96,0.04228680792414112,0.04251569554936595
97,0.04261116259213951,0.04222635025294816
98,0.04287754019929303,0.04459998038847272
99,0.04233299482061907,0.04210401290073627
100,0.04245589099778437,0.042200617492198944
