filename,original_min,original_max,normalized_min,normalized_max,normalized_mean,normalized_std
Defect_L10_B100_el1165_H2_W2.npy,-272.156,4775.44727,1.129215772562923e-05,0.9999820335827343,0.40906466817619874,0.10678207434397409
Defect_L10_B101_el1167_H2_W2.npy,-272.1559,4775.44727,1.1311968528662932e-05,0.9999820335827343,0.4090645596060203,0.10678233034498372
Defect_L10_B102_el1169_H2_W2.npy,-272.1559,4775.44725,1.1311968528662932e-05,0.9999820296205738,0.40906448259095923,0.10678278712465863
Defect_L10_B103_el1171_H2_W2.npy,-272.156,4775.44712,1.129215772562923e-05,0.9999820038665298,0.409065105459564,0.10678421593779606
Defect_L10_B104_el1173_H2_W2.npy,-272.1551,4775.4466999999995,1.1470454952876245e-05,0.999981920661157,0.40906463471331006,0.10678575741762168
Defect_L10_B105_el1459_H2_W2.npy,-272.1574,4775.44722,1.1014806483247489e-05,0.9999820236773328,0.40906477248974765,0.10678396149305769
Defect_L10_B106_el1461_H2_W2.npy,-272.1558,4775.45705,1.1331779331685374e-05,0.9999839710792704,0.40906515444027824,0.10678252636926962
Defect_L10_B107_el1463_H2_W2.npy,-272.15569999999997,4775.45706,1.1351590134719077e-05,0.9999839730603507,0.4090644929019931,0.10678112988669158
Defect_L10_B108_el1465_H2_W2.npy,-272.15569999999997,4775.4571,1.1351590134719077e-05,0.9999839809846719,0.40906457621161607,0.10678084138128671
Defect_L10_B109_el1467_H2_W2.npy,-272.15549999999996,4775.45724,1.1391211740775219e-05,0.9999840087197961,0.4090646945033179,0.10678079968807237
Defect_L10_B10_el133_H2_W2.npy,-272.1559,4775.45722,1.1311968528662932e-05,0.9999840047576356,0.40906493084335,0.10677865228013639
Defect_L10_B110_el1469_H2_W2.npy,-272.1538,4775.4573,1.1727995392235547e-05,0.999984020606278,0.40906475579056795,0.106780790011328
Defect_L10_B111_el1471_H2_W2.npy,-272.15200000000004,4775.45746,1.2084589846718315e-05,0.9999840523035628,0.40906481316421195,0.106780801816793
Defect_L10_B112_el1473_H2_W2.npy,-272.15180000000004,4775.45747,1.2124211452774457e-05,0.9999840542846432,0.4090648628613637,0.10678078357426561
Defect_L10_B113_el1475_H2_W2.npy,-272.156,4775.467250000001,1.129215772562923e-05,0.9999859917811793,0.40906487660016705,0.10678078857783085
Defect_L10_B114_el1477_H2_W2.npy,-272.1637,4775.45678,9.766725892518389e-06,0.9999839175901023,0.4090648882528453,0.10678069510704434
