filename,original_min,original_max,subtracted_min,subtracted_max,subtracted_mean,subtracted_std
Defect_L10_B100_el2515_H4_W4.npy,-272.1282,4775.37794,-245.4580797000001,92.45818999999983,-0.03532410437642558,6.860929985490142
Defect_L10_B101_el2803_H4_W4.npy,-272.1721,4775.3525199999995,-180.9637749000001,79.89897000000019,-0.09710511398577913,5.145293927270429
Defect_L10_B102_el2807_H4_W4.npy,-272.1668,4775.41409,-181.6133022900001,53.73419209999997,-0.10359364782191906,5.136555375809328
Defect_L10_B103_el2811_H4_W4.npy,-272.155,4775.49817,-171.42078630000003,52.061423600000126,-0.0945654165840567,4.998013175318621
Defect_L10_B104_el2815_H4_W4.npy,-272.0805,4775.78192,-168.0405172200002,58.728867100000116,-0.04787426138371683,4.9908134565290805
Defect_L10_B105_el2835_H4_W4.npy,-272.04060000000004,4775.95644,-146.97189400000025,98.3104674000001,0.22221444172531787,5.423379579211176
Defect_L10_B106_el2839_H4_W4.npy,-272.1201,4775.803970000001,-137.71723260000022,61.243963899999926,-0.0047852793858130715,4.7701239908585755
Defect_L10_B107_el2843_H4_W4.npy,-272.1462,4775.60748,-168.88774719999992,49.1213108999998,-0.07231370958533954,5.041759891609318
Defect_L10_B108_el2847_H4_W4.npy,-272.1466,4775.474859999999,-189.3927771000001,52.26870900000017,-0.09117564353665311,5.3412464103626744
Defect_L10_B109_el2851_H4_W4.npy,-272.13480000000004,4775.37927,-194.3586261999999,75.15637000000038,-0.0882635174228548,5.468209870321506
Defect_L10_B10_el151_H4_W4.npy,-272.1571,4775.44755,-299.17282380000006,67.71158659999969,-0.006377360178044086,8.230679867848272
Defect_L10_B110_el3139_H4_W4.npy,-272.1856,4775.27668,-212.2748759000001,81.49153999999999,-0.06878942504363111,5.97175624298854
Defect_L10_B111_el3143_H4_W4.npy,-272.20450000000005,4775.22255,-210.580598,57.60432000000014,-0.060165135942962404,5.989517902418864
Defect_L10_B112_el3147_H4_W4.npy,-272.2164,4774.99447,-200.15803059999985,69.20529290000013,-0.009907836847873379,6.066734432260886
Defect_L10_B113_el3151_H4_W4.npy,-272.0491,4774.723139999999,-191.32751919999987,92.88050313999997,0.11646834982841227,6.497730461126713
Defect_L10_B114_el3171_H4_W4.npy,-272.46130000000005,4774.51749,-320.5581281000002,1533.4799000000003,0.5615243935046015,16.66083129169497
Defect_L10_B115_el3175_H4_W4.npy,-272.1939,4774.588809999999,-248.94157169999994,1501.0354000000007,0.23007178917961638,15.083251458743453
Defect_L10_B116_el3179_H4_W4.npy,-272.1108,4774.83165,-224.45541527399996,72.48961740000004,-0.02158493947216454,6.854929497743801
Defect_L10_B117_el3183_H4_W4.npy,-272.1055,4775.0563,-211.39279130000023,61.784313099999736,-0.07602863445223927,6.138942776773034
Defect_L10_B118_el3187_H4_W4.npy,-272.1161,4775.17405,-195.96641509999995,82.05530000000022,-0.08705272203150258,5.614125419729374
Defect_L10_B119_el3475_H4_W4.npy,-272.1917,4775.37127,-252.61466489999998,102.62338,-0.027951045386913908,7.056291746357616
Defect_L10_B11_el155_H4_W4.npy,-272.1571,4775.44743,-289.28772679999975,65.64982039999995,-0.006345017715985707,7.921990869195548
Defect_L10_B120_el3479_H4_W4.npy,-272.1909,4775.38298,-265.8723565,66.30888299999992,-0.029571366522684682,7.3258278555953344
Defect_L10_B121_el3483_H4_W4.npy,-272.1732,4775.3565100000005,-274.10291200000006,60.38827689999971,-0.012151587415973993,7.54596643863302
Defect_L10_B122_el3487_H4_W4.npy,-271.82,4775.52771,-283.30320870000014,61.40303627599951,0.008399107880290047,7.810857803988648
Defect_L10_B123_el3491_H4_W4.npy,-272.327,4777.32821,-298.11832385,59.94396219999953,0.013362815729545919,8.24047863947975
Defect_L10_B124_el3495_H4_W4.npy,-273.21000000000004,4772.9145499999995,-302.58228269999995,58.803761699999995,0.030981038209216414,8.547210876763382
Defect_L10_B125_el3499_H4_W4.npy,-271.3923,4774.19999,-286.5867301999999,53.85288290000017,0.0585007793077455,8.416892271851149
