nohup: ignoring input
Using device: NVIDIA GeForce RTX 3090
Using device: NVIDIA GeForce RTX 3090
Rank: 0, World Size: 4, Master Addr: 127.0.0.1, Master Port: 12355
Using device: NVIDIA GeForce RTX 3090
Using device: NVIDIA GeForce RTX 3090
Rank 0 using device: cuda:0
Rank 2 using device: cuda:2
Rank 3 using device: cuda:3
Rank 1 using device: cuda:1
Total valid pairs: 1620
Total valid pairs: 1620
Total valid pairs: 1620
Total valid pairs: 1620
Starting Fold 1
Fold 1, Epoch 61, Train Loss: 0.0331, Val Loss: 0.0329, Val Acc: 0.2483
Fold 1, Epoch 62, Train Loss: 0.0333, Val Loss: 0.0323, Val Acc: 0.2483
Fold 1, Epoch 63, Train Loss: 0.0331, Val Loss: 0.0321, Val Acc: 0.2483
Fold 1, Epoch 64, Train Loss: 0.0330, Val Loss: 0.0324, Val Acc: 0.2483
Fold 1, Epoch 65, Train Loss: 0.0326, Val Loss: 0.0319, Val Acc: 0.2483
Fold 1, Epoch 66, Train Loss: 0.0330, Val Loss: 0.0325, Val Acc: 0.2483
Fold 1, Epoch 67, Train Loss: 0.0329, Val Loss: 0.0320, Val Acc: 0.2483
Fold 1, Epoch 68, Train Loss: 0.0328, Val Loss: 0.0324, Val Acc: 0.2483
Fold 1, Epoch 69, Train Loss: 0.0324, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 70, Train Loss: 0.0325, Val Loss: 0.0324, Val Acc: 0.2483
Fold 1, Epoch 71, Train Loss: 0.0325, Val Loss: 0.0319, Val Acc: 0.2483
Fold 1, Epoch 72, Train Loss: 0.0323, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 73, Train Loss: 0.0325, Val Loss: 0.0323, Val Acc: 0.2483
Fold 1, Epoch 74, Train Loss: 0.0322, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 75, Train Loss: 0.0324, Val Loss: 0.0317, Val Acc: 0.2483
Fold 1, Epoch 76, Train Loss: 0.0323, Val Loss: 0.0324, Val Acc: 0.2483
Fold 1, Epoch 77, Train Loss: 0.0325, Val Loss: 0.0316, Val Acc: 0.2483
Fold 1, Epoch 78, Train Loss: 0.0323, Val Loss: 0.0318, Val Acc: 0.2483
