Layer Number,Block Number,Block Elements
13,1,22599,22600,22627,22628
13,2,22655,22656,22683,22684
13,3,22711,22712,22739,22740
13,4,22767,22768,22795,22796
13,5,22823,22824,22851,22852
13,6,22879,22880,22907,22908
13,7,22935,22936,22963,22964
13,8,22991,22992,23019,23020
13,9,23047,23048,23075,23076
13,10,23103,23104,23131,23132
13,11,23159,23160,23187,23188
13,12,23215,23216,23243,23244
13,13,23271,23272,23299,23300
13,14,23327,23328,23355,23356
13,15,23383,23384,23411,23412
13,16,23439,23440,23467,23468
13,17,23495,23496,23523,23524
13,18,23551,23552,23579,23580
13,19,23607,23608,23635,23636
13,20,23663,23664,23691,23692
13,21,23719,23720,23747,23748
13,22,23775,23776,23803,23804
13,23,23831,23832,23859,23860
13,24,23887,23888,23915,23916
13,25,23943,23944,23971,23972
13,26,23999,24000,24027,24028
13,27,24055,24056,24083,24084
13,28,24111,24112,24139,24140
13,29,24167,24168,24195,24196
13,30,24223,24224,24251,24252
13,31,24279,24280,24307,24308
13,32,22601,22602,22629,22630
13,33,22657,22658,22685,22686
13,34,22713,22714,22741,22742
13,35,22769,22770,22797,22798
13,36,22825,22826,22853,22854
13,37,22881,22882,22909,22910
13,38,22937,22938,22965,22966
13,39,22993,22994,23021,23022
13,40,23049,23050,23077,23078
13,41,23105,23106,23133,23134
13,42,23161,23162,23189,23190
13,43,23217,23218,23245,23246
13,44,23273,23274,23301,23302
13,45,23329,23330,23357,23358
13,46,23385,23386,23413,23414
13,47,23441,23442,23469,23470
13,48,23497,23498,23525,23526
13,49,23553,23554,23581,23582
13,50,23609,23610,23637,23638
13,51,23665,23666,23693,23694
13,52,23721,23722,23749,23750
13,53,23777,23778,23805,23806
13,54,23833,23834,23861,23862
13,55,23889,23890,23917,23918
13,56,23945,23946,23973,23974
13,57,24001,24002,24029,24030
13,58,24057,24058,24085,24086
13,59,24113,24114,24141,24142
13,60,24169,24170,24197,24198
13,61,24225,24226,24253,24254
13,62,24281,24282,24309,24310
13,63,22603,22604,22631,22632
13,64,22659,22660,22687,22688
13,65,22715,22716,22743,22744
13,66,22771,22772,22799,22800
13,67,22827,22828,22855,22856
13,68,22883,22884,22911,22912
13,69,22939,22940,22967,22968
13,70,22995,22996,23023,23024
13,71,23051,23052,23079,23080
13,72,23107,23108,23135,23136
13,73,23163,23164,23191,23192
13,74,23219,23220,23247,23248
13,75,23275,23276,23303,23304
13,76,23331,23332,23359,23360
13,77,23387,23388,23415,23416
13,78,23443,23444,23471,23472
13,79,23499,23500,23527,23528
13,80,23555,23556,23583,23584
13,81,23611,23612,23639,23640
13,82,23667,23668,23695,23696
13,83,23723,23724,23751,23752
13,84,23779,23780,23807,23808
13,85,23835,23836,23863,23864
13,86,23891,23892,23919,23920
13,87,23947,23948,23975,23976
13,88,24003,24004,24031,24032
13,89,24059,24060,24087,24088
13,90,24115,24116,24143,24144
13,91,24171,24172,24199,24200
13,92,24227,24228,24255,24256
13,93,24283,24284,24311,24312
13,94,22605,22606,22633,22634
13,95,22661,22662,22689,22690
13,96,22717,22718,22745,22746
13,97,22773,22774,22801,22802
13,98,22829,22830,22857,22858
13,99,22885,22886,22913,22914
13,100,22941,22942,22969,22970
13,101,22997,22998,23025,23026
13,102,23053,23054,23081,23082
13,103,23109,23110,23137,23138
13,104,23165,23166,23193,23194
13,105,23221,23222,23249,23250
13,106,23277,23278,23305,23306
13,107,23333,23334,23361,23362
13,108,23389,23390,23417,23418
13,109,23445,23446,23473,23474
13,110,23501,23502,23529,23530
13,111,23557,23558,23585,23586
13,112,23613,23614,23641,23642
13,113,23669,23670,23697,23698
13,114,23725,23726,23753,23754
13,115,23781,23782,23809,23810
13,116,23837,23838,23865,23866
13,117,23893,23894,23921,23922
13,118,23949,23950,23977,23978
13,119,24005,24006,24033,24034
13,120,24061,24062,24089,24090
13,121,24117,24118,24145,24146
13,122,24173,24174,24201,24202
13,123,24229,24230,24257,24258
13,124,24285,24286,24313,24314
13,125,22607,22608,22635,22636
13,126,22663,22664,22691,22692
13,127,22719,22720,22747,22748
13,128,22775,22776,22803,22804
13,129,22831,22832,22859,22860
13,130,22887,22888,22915,22916
13,131,22943,22944,22971,22972
13,132,22999,23000,23027,23028
13,133,23055,23056,23083,23084
13,134,23111,23112,23139,23140
13,135,23167,23168,23195,23196
13,136,23223,23224,23251,23252
13,137,23279,23280,23307,23308
13,138,23335,23336,23363,23364
13,139,23391,23392,23419,23420
13,140,23447,23448,23475,23476
13,141,23503,23504,23531,23532
13,142,23559,23560,23587,23588
13,143,23615,23616,23643,23644
13,144,23671,23672,23699,23700
13,145,23727,23728,23755,23756
13,146,23783,23784,23811,23812
13,147,23839,23840,23867,23868
13,148,23895,23896,23923,23924
13,149,23951,23952,23979,23980
13,150,24007,24008,24035,24036
13,151,24063,24064,24091,24092
13,152,24119,24120,24147,24148
13,153,24175,24176,24203,24204
13,154,24231,24232,24259,24260
13,155,24287,24288,24315,24316
13,156,22609,22610,22637,22638
13,157,22665,22666,22693,22694
13,158,22721,22722,22749,22750
13,159,22777,22778,22805,22806
13,160,22833,22834,22861,22862
13,161,22889,22890,22917,22918
13,162,22945,22946,22973,22974
13,163,23001,23002,23029,23030
13,164,23057,23058,23085,23086
13,165,23113,23114,23141,23142
13,166,23169,23170,23197,23198
13,167,23225,23226,23253,23254
13,168,23281,23282,23309,23310
13,169,23337,23338,23365,23366
13,170,23393,23394,23421,23422
13,171,23449,23450,23477,23478
13,172,23505,23506,23533,23534
13,173,23561,23562,23589,23590
13,174,23617,23618,23645,23646
13,175,23673,23674,23701,23702
13,176,23729,23730,23757,23758
13,177,23785,23786,23813,23814
13,178,23841,23842,23869,23870
13,179,23897,23898,23925,23926
13,180,23953,23954,23981,23982
13,181,24009,24010,24037,24038
13,182,24065,24066,24093,24094
13,183,24121,24122,24149,24150
13,184,24177,24178,24205,24206
13,185,24233,24234,24261,24262
13,186,24289,24290,24317,24318
13,187,22611,22612,22639,22640
13,188,22667,22668,22695,22696
13,189,22723,22724,22751,22752
13,190,22779,22780,22807,22808
13,191,22835,22836,22863,22864
13,192,22891,22892,22919,22920
13,193,22947,22948,22975,22976
13,194,23003,23004,23031,23032
13,195,23059,23060,23087,23088
13,196,23115,23116,23143,23144
13,197,23171,23172,23199,23200
13,198,23227,23228,23255,23256
13,199,23283,23284,23311,23312
13,200,23339,23340,23367,23368
13,201,23395,23396,23423,23424
13,202,23451,23452,23479,23480
13,203,23507,23508,23535,23536
13,204,23563,23564,23591,23592
13,205,23619,23620,23647,23648
13,206,23675,23676,23703,23704
13,207,23731,23732,23759,23760
13,208,23787,23788,23815,23816
13,209,23843,23844,23871,23872
13,210,23899,23900,23927,23928
13,211,23955,23956,23983,23984
13,212,24011,24012,24039,24040
13,213,24067,24068,24095,24096
13,214,24123,24124,24151,24152
13,215,24179,24180,24207,24208
13,216,24235,24236,24263,24264
13,217,24291,24292,24319,24320
13,218,22613,22614,22641,22642
13,219,22669,22670,22697,22698
13,220,22725,22726,22753,22754
13,221,22781,22782,22809,22810
13,222,22837,22838,22865,22866
13,223,22893,22894,22921,22922
13,224,22949,22950,22977,22978
13,225,23005,23006,23033,23034
13,226,23061,23062,23089,23090
13,227,23117,23118,23145,23146
13,228,23173,23174,23201,23202
13,229,23229,23230,23257,23258
13,230,23285,23286,23313,23314
13,231,23341,23342,23369,23370
13,232,23397,23398,23425,23426
13,233,23453,23454,23481,23482
13,234,23509,23510,23537,23538
13,235,23565,23566,23593,23594
13,236,23621,23622,23649,23650
13,237,23677,23678,23705,23706
13,238,23733,23734,23761,23762
13,239,23789,23790,23817,23818
