Filename,Accuracy,Class Distribution
Defect_L16_B314_el4191_H2_W2.npy,0.9994979199540955,"13929,0,0,0,2,2,0,0,0,0,0,0,0,0,2,6,1,0,0"
Defect_L10_B339_el4823_H2_W2.npy,0.9994261942332521,"13938,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0"
Defect_L18_B89_el4189_H8_W8.npy,0.9918232678238417,"13828,10,12,3,15,11,3,0,3,27,1,1,0,0,2,11,15,0,0"
Defect_L7_B74_el1827_H4_W4.npy,0.9985654855831301,"13908,0,0,0,0,1,14,3,1,2,1,1,3,8,0,0,0,0,0"
Defect_L18_B439_el6187_H2_W2.npy,0.9992110170707216,"13930,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1"
Defect_L11_B55_el791_H2_W2.npy,0.9993544685124085,"13933,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0"
Defect_L7_B35_el819_H4_W4.npy,0.9989958399081911,"13911,0,0,0,0,0,17,3,1,1,1,0,3,5,0,0,0,0,0"
Defect_L9_B352_el4863_H2_W2.npy,0.9991392913498781,"13930,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,0,0,0"
Defect_L6_B210_el6175_H4_W4.npy,0.9996413713957826,"13913,0,0,0,1,25,0,0,1,1,0,0,0,0,1,0,0,0,0"
Defect_L5_B18_el149_H2_W2.npy,0.9993544685124085,"13932,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7,0,0,0"
Defect_L14_B431_el6171_H2_W2.npy,0.9992110170707216,"13929,0,0,0,2,0,7,0,0,1,0,0,0,3,0,0,0,0,0"
Defect_L5_B106_el1461_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0"
Defect_L3_B280_el3825_H2_W2.npy,0.999569645674939,"13928,1,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0"
Defect_L16_B21_el829_H8_W8.npy,0.9968440682828863,"13851,0,0,0,17,14,0,0,1,9,3,0,0,0,0,47,0,0,0"
Defect_L6_B142_el1817_H2_W2.npy,0.9997848228374695,"13931,0,0,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0"
Defect_L11_B358_el5159_H2_W2.npy,0.9990675656290345,"13927,0,0,0,1,0,0,0,0,9,4,0,1,0,0,0,0,0,0"
Defect_L5_B396_el5533_H2_W2.npy,0.999282742791565,"13932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0"
Defect_L18_B102_el2807_H4_W4.npy,0.9977765026538516,"13911,0,6,7,0,1,0,0,1,0,0,0,1,0,1,5,9,0,0"
Defect_L6_B306_el4161_H2_W2.npy,0.9987806627456606,"13923,0,1,0,3,2,1,0,1,0,1,0,0,0,3,5,2,0,0"
Defect_L16_B58_el1479_H4_W4.npy,0.9989958399081911,"13915,0,0,0,0,12,0,0,1,1,0,0,0,0,0,13,0,0,0"
Defect_L2_B110_el1469_H2_W2.npy,0.9997848228374695,"13930,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0"
Defect_L5_B45_el2145_H8_W8.npy,0.993903313728303,"13846,0,0,0,11,12,0,0,2,10,1,0,0,0,0,60,0,0,0"
Defect_L10_B192_el5535_H4_W4.npy,0.998852388466504,"13903,0,0,0,0,1,0,0,1,29,8,0,0,0,0,0,0,0,0"
Defect_L3_B149_el4179_H4_W4.npy,0.9969157940037298,"13896,15,4,0,0,3,1,0,1,4,0,0,2,2,1,4,7,0,2"
Defect_L12_B100_el4854_H8_W8.npy,0.9895997704776933,"13797,0,2,0,7,14,3,0,16,73,18,1,0,0,3,8,0,0,0"
Defect_L16_B409_el5843_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0"
Defect_L17_B39_el1816_H8_W8.npy,0.9955530053077033,"13840,4,19,13,5,4,1,0,1,3,0,2,5,1,0,0,42,0,2"
Defect_L6_B48_H4_W8.npy,0.9977765026538516,"13887,0,0,0,4,25,0,0,1,18,0,0,0,0,0,7,0,0,0"
Defect_L9_B36_el469_H2_W2.npy,0.9996413713957826,"13931,0,0,0,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0"
Defect_L16_B23_el159_H2_W2.npy,0.9997848228374695,"13932,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0"
Defect_L10_B70_el3475_H8_W8.npy,0.9961268110744513,"13819,0,0,0,3,10,2,0,1,99,4,0,0,1,3,0,0,0,0"
Defect_L17_B349_el4857_H2_W2.npy,0.9991392913498781,"13931,0,0,0,1,2,0,0,0,6,0,1,0,0,0,1,0,0,0"
Defect_L3_B30_el1466_H8_W8.npy,0.9979916798163821,"13844,7,72,2,3,5,0,0,0,2,0,2,2,0,0,0,1,0,2"
Defect_L16_B413_el5851_H2_W2.npy,0.9999282742791565,"13932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0"
Defect_L16_B8_el143_H4_W4.npy,0.9990675656290345,"13915,0,0,0,2,9,0,0,1,1,0,0,0,0,0,14,0,0,0"
Defect_L19_B10_el465_H8_W8.npy,0.9934012336823985,"13846,55,15,2,1,4,0,0,1,0,0,2,5,0,0,1,5,0,5"
Defect_L12_B9_el147_H4_W4.npy,0.9983503084205996,"13914,0,0,0,0,1,4,4,10,0,0,5,3,0,0,0,1,0,0"
